brand,years,usingyears,tag_price,cc,gasoline,max_,compression,doors,source,mileage,type_number,certificate,residual_value
NISSAN,2016,2,106.9,2500,¨Tªo,169.4,10,5,8891,5000,3,0,89.33582788
MAZDA,2015,3,75.9,2000,¨Tªo,165,14,4,8891,30000,4,0,89.32806324
HONDA,2015,3,73.9,1800,¨Tªo,141,10.6,4,UCar,32735,2,0,89.30987821
TOYOTA,2014,4,93.9,2500,¨Tªo,181,10.4,4,abc,48332,2,0,89.24387646
HONDA,2016,2,65.9,1500,¨Tªo,120,10.3,5,abc,15000,3,0,89.22610015
HONDA,2016,2,65.9,1500,¨Tªo,120,10.3,5,8891,6600,3,0,89.22610015
FORD,2016,2,119.8,2000,®ãªo,180,16.7,5,8891,6241,1,0,89.14858097
FORD,2016,2,92.9,1500,¨Tªo,180,10,5,8891,11000,3,0,89.12809473
FORD,2015,3,92.9,1500,¨Tªo,180,10,5,SUM,8843,3,1,89.12809473
MAZDA,2017,1,99.8,1500,®ãªo,105,14.8,5,8891,10000,1,0,88.97795591
MAZDA,2017,1,99.8,1500,®ãªo,105,14.8,5,8891,2500,1,0,88.97795591
TOYOTA,2014,4,57.9,1500,¨Tªo,109,10.5,5,SUM,22087,6,1,88.94645941
TOYOTA,2016,2,72.9,1800,¨Tªo,140,10,4,8891,7936,4,0,88.88888889
HONDA,2014,4,63.9,1500,¨Tªo,120,10.4,5,8891,10000,1,0,88.88888889
NISSAN,2013,5,52.9,1600,¨Tªo,109,9.8,4,UCar,59556,2,0,88.84688091
NISSAN,2013,5,52.9,1600,¨Tªo,109,9.8,4,UCar,16156,2,0,88.84688091
HONDA,2016,2,89.9,2400,¨Tªo,190,10,5,abc,10500,4,0,88.76529477
HONDA,2016,2,89.9,2400,¨Tªo,190,10,5,8891,10000,4,0,88.76529477
MAZDA,2015,3,80.9,2000,¨Tªo,165,14,5,8891,20000,2,0,88.75154512
HONDA,2016,2,62.9,1500,¨Tªo,120,10.3,4,8891,17000,2,0,88.71224165
HONDA,2016,2,62.9,1500,¨Tªo,120,10.3,4,Yahoo,17000,3,1,88.71224165
TOYOTA,2014,4,51.9,1500,¨Tªo,109,10.5,4,UCar,39000,2,0,88.63198459
HONDA,2017,1,78.9,1800,¨Tªo,143,10.6,5,8891,3000,3,0,88.59315589
